Skills
Python
Java
C
C++
SQL
Machine Learning
Deep Learning
Power BI
Excel
Git
GitHub
Docker
AWS
Linux
HTML
CSS
JavaScript
React
Flask
Django
REST API
TensorFlow
PyTorch
